date,acquried_company,acquring_company,business,country,price
"July 30, 2008",Omnisio,YouTube,Online video,United States,"$15,000,000"
"September 12, 2008",TNC,Blogger,Weblog software,South Korea,—
"August 5, 2009",On2,"WebM, YouTube",Video compression,United States,"$133,000,000"
"September 16, 2009",reCAPTCHA,"Google Books, reCAPTCHA",Security,United States,—
"November 9, 2009",AdMob,"DoubleClick, Invite Media",Mobile advertising,United States,—
"November 9, 2009",Gizmo5,"Google Talk, Google Hangouts",Voice over IP,United States,"$30,000,000"
"November 23, 2009",Teracent,AdSense,Online advertising,United States,—
"December 4, 2009",AppJet,"Google Wave, Google Docs",Collaborative real-time editor,United States,—
"February 12, 2010",Aardvark,Aardvark,Social search,United States,"$50,000,000"
"February 17, 2010",reMail,Gmail,Email search,United States,—
"March 1, 2010",Picnik,Picasa,Photo editing,United States,—
"March 5, 2010",DocVerse,Google Docs,Microsoft Office files sharing site,United States,"$25,000,000"
"April 2, 2010",Episodic,YouTube,Online video platform start-up,United States,—
